customer_state,pedidos,fallas_extremas,tiempo_promedio,tiempo_mediano,review_promedio,tasa_fallas_extremas
RR,41,5,28.975609756097562,25.0,3.902439024390244,12.195121951219512
PA,946,74,23.316067653276956,21.0,3.909967845659164,7.822410147991543
AL,397,30,24.04030226700252,22.0,3.8527918781725887,7.5566750629722925
CE,1279,75,20.817826426896012,18.0,3.941869599371563,5.863956215793588
SE,335,18,21.029850746268657,18.0,3.907185628742515,5.3731343283582085
RN,474,22,18.824894514767934,16.0,4.149681528662421,4.641350210970464
MA,717,33,21.11715481171548,19.0,3.833567415730337,4.602510460251046
AP,67,3,26.73134328358209,24.0,4.242424242424242,4.477611940298507
PB,517,18,19.95357833655706,18.0,4.076171875,3.481624758220503
RJ,12350,419,14.848582995951418,12.0,3.965140720115743,3.3927125506072873
PE,1593,54,17.965473948524796,15.0,4.082963901203294,3.389830508474576
PI,476,16,18.993697478991596,16.0,3.9936305732484074,3.361344537815126
BA,3256,92,18.86640049140049,16.0,3.930009290802106,2.8255528255528257
AM,145,4,25.986206896551725,25.0,4.243055555555555,2.7586206896551726
AC,80,2,20.6375,18.0,4.0875,2.5
MT,886,20,17.59367945823928,16.0,4.146188850967008,2.2573363431151243
RO,243,4,18.91358024691358,17.0,4.1652892561983474,1.646090534979424
ES,1995,31,15.331829573934836,13.0,4.079735906551549,1.5538847117794485
RS,5344,72,14.819236526946108,13.0,4.185598948554262,1.347305389221557
GO,1957,26,15.15074092999489,13.0,4.10431654676259,1.3285641287685233
MS,701,9,15.191155492154065,13.0,4.160228898426324,1.2838801711840229
SC,3546,39,14.475183305132544,13.0,4.133276499005399,1.0998307952622675
TO,274,2,17.226277372262775,15.0,4.153846153846154,0.7299270072992701
DF,2080,13,12.509134615384616,11.0,4.133816425120773,0.625
MG,11354,66,11.542187775233398,10.0,4.19246787771378,0.5812929364100757
PR,4923,26,11.52671135486492,10.0,4.239591836734694,0.5281332520820639
SP,40494,147,8.298093544722676,7.0,4.246518982102353,0.36301674322121796
