segmento_logistico,tiempo_entrega_real,pedidos,review_promedio,porcentaje_reviews_bajas,review_promedio_suavizado,reviews_bajas_suavizado
1. Mismo Estado,0,11,4.454545454545454,0.0,4.48200819428775,3.2658393207054215
1. Mismo Estado,1,1531,4.509470934030046,6.531678641410843,4.48394592293969,4.274655171855035
1. Mismo Estado,2,2956,4.487821380243572,6.292286874154263,4.479305341161563,6.701338360620007
1. Mismo Estado,3,3228,4.44062370921107,7.2800495662949185,4.455704652113777,6.751834919093622
1. Mismo Estado,4,3636,4.4386688668866885,6.683168316831684,4.426730749647999,7.071708760024388
1. Mismo Estado,5,3668,4.400899672846238,7.251908396946565,4.394303153919702,7.452841924892503
1. Mismo Estado,6,3514,4.343340922026181,8.42344906089926,4.3674180004439656,7.8962546391072514
1. Mismo Estado,7,3282,4.3580134064594755,8.013406459475929,4.3377228914924055,8.418473640406356
1. Mismo Estado,8,2370,4.311814345991561,8.818565400843882,4.304543877253795,8.897295217807754
1. Mismo Estado,9,1856,4.243803879310345,9.859913793103448,4.270014334687656,9.513138239533223
1. Mismo Estado,10,1582,4.254424778761062,9.860935524652339,4.233780395999861,10.031983026110135
1. Mismo Estado,11,1253,4.203112529928172,10.37509976057462,4.215902749620059,9.986085835816395
1. Mismo Estado,12,936,4.19017094017094,9.722222222222223,4.15845767411264,11.253259642945293
1. Mismo Estado,13,871,4.082089552238806,13.662456946039036,4.100284666970173,12.071039372418873
1. Mismo Estado,14,647,4.028593508500773,12.828438948995363,4.003024467597297,14.531170529733132
1. Mismo Estado,15,497,3.898390342052314,17.102615694164992,3.9406435530212414,15.739429561904517
1. Mismo Estado,16,376,3.8949468085106385,17.287234042553195,3.825471357879959,18.950462732752218
1. Mismo Estado,17,325,3.683076923076923,22.46153846153846,3.802181195727743,19.386774950220683
1. Mismo Estado,18,277,3.8285198555956677,18.4115523465704,3.757868504099015,20.320142350883447
1. Mismo Estado,19,229,3.7620087336244543,20.087336244541483,3.676233544076958,22.86880515761077
1. Mismo Estado,20,186,3.4381720430107525,30.107526881720432,3.5085873906613485,27.778132669994278
1. Mismo Estado,21,172,3.3255813953488373,33.13953488372093,3.2339355119015742,34.94666070647455
1. Mismo Estado,22,113,2.938053097345133,41.5929203539823,3.032895346361908,39.68745071497324
1. Mismo Estado,23,97,2.8350515463917527,44.329896907216494,2.768118214578962,46.696494642621815
1. Mismo Estado,24,96,2.53125,54.166666666666664,2.647462834304497,51.31044872752627
1. Mismo Estado,25,92,2.5760869565217392,55.434782608695656,2.585530229288341,53.94675174850386
1. Mismo Estado,26,67,2.6492537313432836,52.23880597014925,2.552036639544751,55.89119619294831
1. Mismo Estado,27,65,2.4307692307692306,60.0,2.462571756601607,59.207807118254884
1. Mismo Estado,28,52,2.3076923076923075,65.38461538461539,2.4961538461538457,59.387464387464384
1. Mismo Estado,29,36,2.75,52.77777777777778,2.4156271656271655,61.00908600908601
1. Mismo Estado,30,37,2.189189189189189,64.86486486486487,2.3275558166862518,63.8518953736345
1. Mismo Estado,31,23,2.0434782608695654,73.91304347826086,2.020084552318435,71.546659102881
1. Mismo Estado,32,29,1.8275862068965518,75.86206896551724,1.9892795537715013,71.43041382534538
1. Mismo Estado,33,31,2.096774193548387,64.51612903225806,1.9881201334816463,68.12606599925844
1. Mismo Estado,34,25,2.04,64.0,1.9227843803056028,70.90888511601584
1. Mismo Estado,35,19,1.631578947368421,84.21052631578947,1.8357894736842106,74.10526315789474
2. Misma Región,0,1,5.0,0.0,4.535714285714286,8.928571428571429
2. Misma Región,1,28,4.071428571428571,17.857142857142858,4.457393483709273,8.709273182957395
2. Misma Región,2,133,4.3007518796992485,8.270676691729323,4.243448880079856,12.052157614667038
2. Misma Región,3,349,4.358166189111748,10.028653295128938,4.338395727320282,9.05594383863675
2. Misma Región,4,654,4.356269113149847,8.868501529051988,4.366876955040362,8.955857962483755
2. Misma Región,5,1217,4.38619556285949,7.970419063270337,4.383885833707148,8.172764263210581
2. Misma Región,6,1784,4.4091928251121075,7.679372197309417,4.392186838445539,7.7700504017345535
2. Misma Región,7,2167,4.381172127365021,7.660359944623904,4.398363520744408,7.806333478205416
2. Misma Región,8,1968,4.404725609756097,8.079268292682928,4.378024940151484,8.076403856880056
2. Misma Región,9,1920,4.348177083333334,8.489583333333334,4.363723828600047,8.503208704495927
2. Misma Región,10,1756,4.338268792710706,8.940774487471526,4.322293552884244,9.205564408177189
2. Misma Región,11,1610,4.280434782608696,10.186335403726709,4.294234525106467,9.286814408177188
2. Misma Región,12,1500,4.264,8.733333333333333,4.283295066319982,9.258865102613251
2. Misma Región,13,1321,4.305450416351249,8.856926570779713,4.27432799508528,8.866953536942276
2. Misma Región,14,1132,4.253533568904594,9.010600706713781,4.254301158927089,9.380983668769018
2. Misma Región,15,944,4.203919491525424,10.27542372881356,4.20099664325675,10.223413923528518
2. Misma Región,16,773,4.145536869340233,11.384217335058215,4.157370494506926,11.212184346927918
2. Misma Región,17,693,4.1226551226551225,11.976911976911978,4.106941190314241,11.827447144394105
